territoire,ligne,nom_ligne,arret_id,code,arret,latitude,longitude
TàD 2429,TàD 2429,TàD 2429,IDFM:10662,,Collège les Glacis,48.93719364925159,3.1294290520498205
TàD Bassin Chellois,TàD,TàD Bassin Chellois,IDFM:477081,,Collège Maria Callas,48.91087089634764,2.603653675050506
TàD Dimanche,TàD,TàD Dimanche,IDFM:477081,,Collège Maria Callas,48.91087089634764,2.603653675050506
TàD Desserte Hôpital,TàD,TàD Desserte Hôpital,IDFM:477081,,Collège Maria Callas,48.91087089634764,2.603653675050506
TàD Bassin Chellois,TàD,TàD Bassin Chellois,IDFM:16670,,Collège Maria Callas,48.9104473837193,2.603397680741016
TàD Dimanche,TàD,TàD Dimanche,IDFM:16670,,Collège Maria Callas,48.9104473837193,2.603397680741016
TàD Desserte Hôpital,TàD,TàD Desserte Hôpital,IDFM:16670,,Collège Maria Callas,48.9104473837193,2.603397680741016
TàD 4308,TàD 4308,TàD 4308,IDFM:426745,,Collège Olympe de Gouges,48.51834070625174,2.447091020212017
TàD 4318,TàD 4318,TàD 4318,IDFM:426745,,Collège Olympe de Gouges,48.51834070625174,2.447091020212017
TàD 4591,TàD 4591,TàD 4591,IDFM:483596,,Collège Paul Fort,48.639112020304,2.278328521033878
TàD Roissy Fosses,TàD,TàD Roissy Fosses,IDFM:38498,,Colombier,49.10162175243808,2.5433685320446173
TàD Roissy Fosses,TàD,TàD Roissy Fosses,IDFM:38499,,Colombier,49.10151344456402,2.5432599383096273
TàD 2429,TàD 2429,TàD 2429,IDFM:11168,,Colverts,48.94298942114113,3.1251159463641702
TàD 2429,TàD 2429,TàD 2429,IDFM:477988,,Colverts,48.94316972603538,3.124679530376277
TàD Aigremont - Chambourcy,TàD,TàD Aigremont - Chambourcy,IDFM:34559,,Complexe Sportif,48.908211982635116,2.031258477645852
TàD 6131,TàD 6131,TàD 6131,IDFM:12755,,Concorde,48.79603146875824,2.197647833428717
TàD Goêle,TàD,TàD Goêle,IDFM:38271,,Condé,49.05227879107773,2.667268354394556
TàD Vexin Est,TàD,TàD Vexin Est,IDFM:29530,,Connebot,49.18039805435048,2.0287710006916257
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:497135,,Convention,49.00780346156812,2.516103977456169
TàD Roissy Goussainville,TàD,TàD Roissy Goussainville,IDFM:497135,,Convention,49.00780346156812,2.516103977456169
TàD Roissy Villiers-le-Bel,TàD,TàD Roissy Villiers-le-Bel,IDFM:497135,,Convention,49.00780346156812,2.516103977456169
TàD Roissy Sarcelles,TàD,TàD Roissy Sarcelles,IDFM:38064,,Convention,49.00784902653169,2.5162539096865983
TàD Roissy Goussainville,TàD,TàD Roissy Goussainville,IDFM:38064,,Convention,49.00784902653169,2.5162539096865983
TàD Roissy Villiers-le-Bel,TàD,TàD Roissy Villiers-le-Bel,IDFM:38064,,Convention,49.00784902653169,2.5162539096865983
TàD Roissy Fosses,TàD,TàD Roissy Fosses,IDFM:419761,,Copenhague,49.052662531723975,2.500322409343798
TàD 4301/4530,TàD 4301,TàD 4301/4530,IDFM:411531,,Coquelicots,48.57084443213076,2.353333433287309
TàD Courtaboeuf,TàD,TàD Courtaboeuf,IDFM:485335,,Costco,48.68760125118337,2.220627638550088
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:424991,,Cottages,48.96582213611195,2.5689403483439226
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:39209,,Cottages,48.96660307978853,2.5685514522369215
TàD 2429,TàD 2429,TàD 2429,IDFM:477985,,Courcelles sous Jouarre,48.93715429830146,3.147897375039891
TàD 2429,TàD 2429,TàD 2429,IDFM:477983,,Courcelles sous Jouarre,48.937208892406055,3.147378830422677
TàD Roissy Sud,TàD,TàD Roissy Sud,IDFM:39290,,Couronne,48.939189100553435,2.609130234130797
TàD 4342,TàD 4342,TàD 4342,IDFM:7323,,Courty,48.40230752486927,2.378565185325766
TàD 4343,TàD 4343,TàD 4343,IDFM:7323,,Courty,48.40230752486927,2.378565185325766
TàD 2429,TàD 2429,TàD 2429,IDFM:462090,,Covoiturage,48.850145123896546,3.2386256579739974
TàD Bassin Chellois,TàD,TàD Bassin Chellois,IDFM:16710,,Cressonnières,48.882851289802765,2.5858129941864476
TàD Dimanche,TàD,TàD Dimanche,IDFM:16710,,Cressonnières,48.882851289802765,2.5858129941864476
TàD Desserte Hôpital,TàD,TàD Desserte Hôpital,IDFM:16710,,Cressonnières,48.882851289802765,2.5858129941864476
TàD Roissy Villiers-le-Bel,TàD,TàD Roissy Villiers-le-Bel,IDFM:14581,,Cressonnières,48.98900730617241,2.4586994781398617
